Index,Date,Close/Last,Volume,Open,High,Low
2528,07/07/2014,1317,79110,1321.4,1321.7,1312.1
2527,08/07/2014,1316.5,126706,1320.8,1325.7,1314.3
2526,09/07/2014,1324.3,155101,1320.4,1333.4,1318.7
2525,10/07/2014,1339.2,167391,1325,1346.8,1325
2524,11/07/2014,1337.4,88470,1336.5,1340.4,1334.6
2523,14/07/2014,1306.7,199973,1339.5,1340.9,1302.2
2522,15/07/2014,1297.1,169612,1309.1,1314.4,1292.6
2521,16/07/2014,1299.8,109418,1295.2,1304.2,1293.5
2520,17/07/2014,1316.9,170360,1300.3,1325.9,1298.1
2519,18/07/2014,1309.4,116687,1319.1,1325.5,1305
2518,21/07/2014,1315.5,17260,1312.2,1320.4,1309.7
2517,22/07/2014,1308,14296,1314.8,1318,1304.2
2516,23/07/2014,1306.5,18529,1309.2,1313.3,1305.3
2515,24/07/2014,1292.7,31853,1306.7,1307,1289.4
2514,25/07/2014,1305.3,40213,1296,1311,1293
2513,28/07/2014,1305.8,56826,1309.2,1311.4,1303.3
2512,29/07/2014,1300.5,134585,1306.7,1314.6,1298
2511,30/07/2014,1296.9,123138,1300.5,1305.2,1293.2
2510,31/07/2014,1282.8,126684,1297,1298.8,1281.3
2509,01/08/2014,1294.8,130480,1284.2,1298.4,1281
2508,04/08/2014,1288.9,62664,1295.4,1296.4,1287
2507,05/08/2014,1285.3,95648,1289.2,1295,1283.3
2506,06/08/2014,1308.2,147308,1288.9,1311,1288.5
2505,07/08/2014,1312.5,117073,1306.6,1316.4,1303
2504,08/08/2014,1311,143432,1314.5,1324.3,1305.7
2503,11/08/2014,1310.5,60601,1310.4,1312.9,1306.4
2502,12/08/2014,1310.6,95741,1309.2,1319.3,1306.8
2501,13/08/2014,1314.5,95280,1309.6,1316.4,1306
2500,14/08/2014,1315.7,99903,1313.4,1321.8,1310
2499,15/08/2014,1306.2,182579,1313.4,1316.5,1293
2498,18/08/2014,1299.3,72640,1304.2,1304.9,1296.5
2497,19/08/2014,1296.7,74127,1298.6,1303.7,1294.7
2496,20/08/2014,1295.2,79933,1297.2,1299.3,1288.7
2495,21/08/2014,1275.4,131952,1279.5,1292,1273.4
2494,22/08/2014,1280.2,86655,1278.2,1283.9,1274.6
2493,25/08/2014,1278.9,50763,1280.8,1281.6,1275
2492,26/08/2014,1285.2,98932,1277.4,1291.9,1275.7
2491,27/08/2014,1283.4,63763,1281.6,1288.2,1280.9
2490,28/08/2014,1290.4,105911,1283.7,1297.6,1283
2489,29/08/2014,1287.4,71025,1290.4,1292.5,1284.1
2487,02/09/2014,1265,175680,1288.4,1290.9,1263.1
2486,03/09/2014,1270.3,99369,1266.7,1272.4,1261.9
2485,04/09/2014,1266.5,141572,1269.8,1279.2,1261.3
2484,05/09/2014,1267.3,99917,1261.7,1274.8,1258
2483,08/09/2014,1254.3,107957,1269.5,1272.6,1252.1
2482,09/09/2014,1248.5,121217,1257.1,1258.9,1248.1
